solution	question	in_rows	time_ns
gandalff_2	Q1	1e4	   192681
gandalff_2	Q1	1e5	  1480518
gandalff_2	Q1	1e6	 13374249
gandalff_2	Q1	1e7	155360457
gandalff_2	Q2	1e4	   965688
gandalff_2	Q2	1e5	  4626908
gandalff_2	Q2	1e6	 25245546
gandalff_2	Q2	1e7	278078325
gandalff_2	Q3	1e4	   190241
gandalff_2	Q3	1e5	  2579772
gandalff_2	Q3	1e6	 30471430
gandalff_2	Q3	1e7	529000900
gandalff_2	Q4	1e4	   249295
gandalff_2	Q4	1e5	  1728364
gandalff_2	Q4	1e6	 14442498
gandalff_2	Q4	1e7	161850588
gandalff_2	Q5	1e4	   262756
gandalff_2	Q5	1e5	  2936911
gandalff_2	Q5	1e6	 34519495
gandalff_2	Q5	1e7	593531000
