solution	question	in_rows	time_ns
gandalff_2_2	Q1	1e4	   194216
gandalff_2_2	Q1	1e5	  1729982
gandalff_2_2	Q1	1e6	 10260987
gandalff_2_2	Q1	1e7	103983283
gandalff_2_2	Q2	1e4	   989267
gandalff_2_2	Q2	1e5	  6813565
gandalff_2_2	Q2	1e6	 25610800
gandalff_2_2	Q2	1e7	250024700
gandalff_2_2	Q3	1e4	   205873
gandalff_2_2	Q3	1e5	  3079219
gandalff_2_2	Q3	1e6	 31052148
gandalff_2_2	Q3	1e7	508045100
gandalff_2_2	Q4	1e4	    73398
gandalff_2_2	Q4	1e5	   917733
gandalff_2_2	Q4	1e6	 10355717
gandalff_2_2	Q4	1e7	123196680
gandalff_2_2	Q5	1e4	    72225
gandalff_2_2	Q5	1e5	   894958
gandalff_2_2	Q5	1e6	 33351064
gandalff_2_2	Q5	1e7	505354200
