solution	question	in_rows	time_ns
gandalff_1_1	Q1	1e4	180999
gandalff_1_1	Q1	1e5	1624523
gandalff_1_1	Q1	1e6	19172549
gandalff_1_1	Q1	1e7	236759520
gandalff_1_1	Q2	1e4	1901930
gandalff_1_1	Q2	1e5	8586608
gandalff_1_1	Q2	1e6	75966657
gandalff_1_1	Q2	1e7	1371530200
gandalff_1_1	Q3	1e4	213651
gandalff_1_1	Q3	1e5	2981808
gandalff_1_1	Q3	1e6	40765589
gandalff_1_1	Q3	1e7	688713800
gandalff_1_1	Q4	1e4	218637
gandalff_1_1	Q4	1e5	1939926
gandalff_1_1	Q4	1e6	25236037
gandalff_1_1	Q4	1e7	346783400
gandalff_1_1	Q5	1e4	206648
gandalff_1_1	Q5	1e5	3008205
gandalff_1_1	Q5	1e6	43112915
gandalff_1_1	Q5	1e7	729774450
