solution	question	in_rows	time_ns
gandalff_2_5	Q1	1e4	   184525
gandalff_2_5	Q1	1e5	  1352836
gandalff_2_5	Q1	1e6	  9551180
gandalff_2_5	Q1	1e7	100520269
gandalff_2_5	Q2	1e4	   931762
gandalff_2_5	Q2	1e5	  4651867
gandalff_2_5	Q2	1e6	 23738134
gandalff_2_5	Q2	1e7	213157840
gandalff_2_5	Q3	1e4	   192103
gandalff_2_5	Q3	1e5	  2224372
gandalff_2_5	Q3	1e6	 30043085
gandalff_2_5	Q3	1e7	489495967
gandalff_2_5	Q4	1e4	    76577
gandalff_2_5	Q4	1e5	   903762
gandalff_2_5	Q4	1e6	 10593571
gandalff_2_5	Q4	1e7	118346792
gandalff_2_5	Q5	1e4	    71239
gandalff_2_5	Q5	1e5	   898818
gandalff_2_5	Q5	1e6	 32876547
gandalff_2_5	Q5	1e7	496669967
