solution	question	in_rows	time_ns
gandalff_2_3	Q1	1e4	   332132
gandalff_2_3	Q1	1e5	  3206162
gandalff_2_3	Q1	1e6	 11277664
gandalff_2_3	Q1	1e7	121028390
gandalff_2_3	Q2	1e4	  1175362
gandalff_2_3	Q2	1e5	  9779312
gandalff_2_3	Q2	1e6	 23541047
gandalff_2_3	Q2	1e7	235798060
gandalff_2_3	Q3	1e4	   344343
gandalff_2_3	Q3	1e5	  3968938
gandalff_2_3	Q3	1e6	 34813791
gandalff_2_3	Q3	1e7	552492750
gandalff_2_3	Q4	1e4	    79707
gandalff_2_3	Q4	1e5	   912037
gandalff_2_3	Q4	1e6	 11439739
gandalff_2_3	Q4	1e7	140957411
gandalff_2_3	Q5	1e4	    79504
gandalff_2_3	Q5	1e5	   888825
gandalff_2_3	Q5	1e6	 35509630
gandalff_2_3	Q5	1e7	569112650
