solution	question	in_rows	time_ns
gandalff_2_4	Q1	1e4	   179841
gandalff_2_4	Q1	1e5	  1364275
gandalff_2_4	Q1	1e6	  9490674
gandalff_2_4	Q1	1e7	 98171600
gandalff_2_4	Q2	1e4	   951727
gandalff_2_4	Q2	1e5	  4649049
gandalff_2_4	Q2	1e6	 23545060
gandalff_2_4	Q2	1e7	210271100
gandalff_2_4	Q3	1e4	   192845
gandalff_2_4	Q3	1e5	  2360650
gandalff_2_4	Q3	1e6	 30982678
gandalff_2_4	Q3	1e7	507114300
gandalff_2_4	Q4	1e4	    75079
gandalff_2_4	Q4	1e5	   927973
gandalff_2_4	Q4	1e6	 10550449
gandalff_2_4	Q4	1e7	120767890
gandalff_2_4	Q5	1e4	    70053
gandalff_2_4	Q5	1e5	   876077
gandalff_2_4	Q5	1e6	 32700441
gandalff_2_4	Q5	1e7	506239400
