solution	question	in_rows	time_ns
gandalff_3_0	Q1	1e4	   316380
gandalff_3_0	Q1	1e5	  1482389
gandalff_3_0	Q1	1e6	 10871940
gandalff_3_0	Q1	1e7	113146250
gandalff_3_0	Q2	1e4	  1324013
gandalff_3_0	Q2	1e5	  6776976
gandalff_3_0	Q2	1e6	 61533190
gandalff_3_0	Q2	1e7	888291650
gandalff_3_0	Q3	1e4	   318091
gandalff_3_0	Q3	1e5	  2491238
gandalff_3_0	Q3	1e6	 30301374
gandalff_3_0	Q3	1e7	529594500
gandalff_3_0	Q4	1e4	    72138
gandalff_3_0	Q4	1e5	   913448
gandalff_3_0	Q4	1e6	 10418554
gandalff_3_0	Q4	1e7	122941510
gandalff_3_0	Q5	1e4	    73908
gandalff_3_0	Q5	1e5	   881757
gandalff_3_0	Q5	1e6	 32939966
gandalff_3_0	Q5	1e7	522937250
