solution	question	in_rows	time_ns
gandalff_1_2	Q1	1e4	    183905
gandalff_1_2	Q1	1e5	   1601116
gandalff_1_2	Q1	1e6	  20319697
gandalff_1_2	Q1	1e7	 239101440
gandalff_1_2	Q2	1e4	    955300
gandalff_1_2	Q2	1e5	   6815981
gandalff_1_2	Q2	1e6	 100513420
gandalff_1_2	Q2	1e7	1095349400
gandalff_1_2	Q3	1e4	    215180
gandalff_1_2	Q3	1e5	   3063810
gandalff_1_2	Q3	1e6	  43465844
gandalff_1_2	Q3	1e7	 854745800
gandalff_1_2	Q4	1e4	    275359
gandalff_1_2	Q4	1e5	   2576003
gandalff_1_2	Q4	1e6	  30487795
gandalff_1_2	Q4	1e7	 394846333
gandalff_1_2	Q5	1e4	    266141
gandalff_1_2	Q5	1e5	   3921422
gandalff_1_2	Q5	1e6	  51150573
gandalff_1_2	Q5	1e7	 915590750
